"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/18 2:37:33 em EET","7.00 / 15","64","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Hårstrån vid högra axeln står rakt ut och är snurrade på ett konstigt sätt.","-- / 0","","Ja","1.00 / 1","","Hans rock ser ut att ha knappar på båda sidor men inga knapphål, skärpan är olika på föremål som i tre dimensioner bör vara på samma avstånd. Hennes hår är kort och långt, suddigt och skarpt. Hans arm är inne i bordet?","-- / 0","","Ja","0.00 / 1","","Underdelen av näbben ser konstig ut, är det rester av tänder? Vattnet i gränsen mellan dun och vatten ser konstigt ut. Reflexerna i vattnet ser inte naturliga ut. ","-- / 0","","Nej","1.00 / 1","","Det mesta ser rätt ut, skuggorna, perspektiven, reflektionerna, höjderna på sjöfartsmärkena stämmer med det uppfattade avstånden, så även isflakens kanter, tillsammans talar detta för att den inte är AI-genererad.","-- / 0","","Ja","1.00 / 1","","Katten har ""morrhår"" ovanför höger öga, de bortre morrhåren är mycket tjockare, ingen skärpa i pälsen.","-- / 0","","Ja","0.00 / 1","","Saltkvarnen som syns genom vasen ser ut att vara fylld med peppar, en dessertsked ligger innanför en kniv, den stora vita blomman i buketten ser konstigt stympad ut.","-- / 0","","Ja","0.00 / 1","","För få ben för en nyckelpiga, skärpedjupen är ju helt uppåt väggarna, saknar helt detaljer vid mandiblarna.","-- / 0","","Ja","1.00 / 1","","Nere till vänster ser det ut som om vattnet har rippel på sig, som om det strömmar eller något rört sig där, men överallt i resten av bilden är vattnet stilla. Det kan ju ha en naturlig förklaring men....","-- / 0","","Nej","1.00 / 1","","Det ser ut som om det är en bild tagen med extremt litet skärpedjup men jag upptäcker inga diskrepanser.","-- / 0","","Ja","0.00 / 1","","Ett styre(?) försvinner ner bakom bakhjulet men kommer inte fram igen, vajrarna går ner till höger om styret men går sen bakåt längs ramen på vänster sida.","-- / 0","","Ja","1.00 / 1","","Skärpan på vänster framfot, I.E. tårna, ser konstiga ut och har växlande skärpa. Vänster öga har ett litet hack i nederkant som saknas i höger öga. En lös tå finns till höger i bilden.","-- / 0","","Ja","0.00 / 1","","Skogspartiet mitt i bild är suddigt, skuggorna på bergen ser inte ut att vara riktiga.","-- / 0","","Ja","0.00 / 1","","Vid vänster armbågsveck övergår en suddig gren till en skarp skugga på armen.","-- / 0","","Ja","1.00 / 1","","Jag kan inte vrida mitt långfinger så. Var är pekfingret, eller åtminstone skuggan av pekfingret?","-- / 0","","Ja","0.00 / 1","","Tassar och benställning ser inte riktiga ut.","-- / 0","","","-- / 0",""
"2024/03/18 3:33:51 em EET","10.00 / 15","53","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ser riktig ut","-- / 0","","Ja","1.00 / 1","","Tycker hans hand ser konstig ut","-- / 0","","Nej","1.00 / 1","","Ser äkta ut","-- / 0","","Ja","0.00 / 1","","Ser konstigt ut med så lite is flytande lite här och där","-- / 0","","Ja","1.00 / 1","","Pälsen på katten kanske
","-- / 0","","Ja","0.00 / 1","","Ren gissning","-- / 0","","Nej","1.00 / 1","","Gissning","-- / 0","","Nej","0.00 / 1","","Gissning","-- / 0","","Nej","1.00 / 1","","Gissning","-- / 0","","Nej","1.00 / 1","","Ser verklig ut","-- / 0","","Ja","1.00 / 1","","Tårna på grodan ","-- / 0","","Ja","0.00 / 1","","Gissning","-- / 0","","Ja","0.00 / 1","","Gissning","-- / 0","","Ja","1.00 / 1","","Glittret på blomman lite konstigt","-- / 0","","Nej","1.00 / 1","","Gissning","-- / 0","","","-- / 0",""
"2024/03/18 9:08:32 em EET","6.00 / 15","54","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Ljuset","-- / 0","","Ja","1.00 / 1","","Hon ser ditklippt ut","-- / 0","","Nej","1.00 / 1","","Speglingen i vattnet ser rimligt ut","-- / 0","","Nej","1.00 / 1","","Skuggorna verkar stämma","-- / 0","","Nej","0.00 / 1","","Ljuset verkar stämma","-- / 0","","Ja","0.00 / 1","","Många föremål ser lika stora ut även på håll","-- / 0","","Ja","0.00 / 1","","Nyckelpigan saknar ben","-- / 0","","Ja","1.00 / 1","","Glöntan är för ljus","-- / 0","","Ja","0.00 / 1","","Vet inte bara allmänt misstänktsam","-- / 0","","Nej","1.00 / 1","","Verkar trolig ","-- / 0","","Nej","0.00 / 1","","Verkar ok","-- / 0","","Ja","0.00 / 1","","Husen ser konstiga ut","-- / 0","","Nej","1.00 / 1","","Verkar ok","-- / 0","","Nej","0.00 / 1","","Verkar ok","-- / 0","","Ja","0.00 / 1","","Tassarna ser konstiga ut","-- / 0","","","-- / 0",""
"2024/03/18 9:09:54 em EET","6.00 / 15","57","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Lagom rufsig","-- / 0","","Ja","1.00 / 1","","Olika fokus på fel ställen","-- / 0","","Ja","0.00 / 1","","Onaturligt vatten och pippis","-- / 0","","Nej","1.00 / 1","","Vet ej","-- / 0","","Nej","0.00 / 1","","Lagom rufsig kisse","-- / 0","","Ja","0.00 / 1","","Knasiga färger","-- / 0","","Ja","0.00 / 1","","Nyckelpigan ser ut som plast","-- / 0","","Nej","0.00 / 1","","Vet ej","-- / 0","","Ja","0.00 / 1","","För välkammad pippis","-- / 0","","Nej","1.00 / 1","","Känns naturlig för killen ser obekväm ut","-- / 0","","Ja","1.00 / 1","","Allt ser ut som plast","-- / 0","","Ja","0.00 / 1","","Vet ej","-- / 0","","Ja","0.00 / 1","","Skuggorna verkar inkonsekventa","-- / 0","","Nej","0.00 / 1","","Vet ej","-- / 0","","Nej","1.00 / 1","","Vet ej","-- / 0","","","-- / 0",""
"2024/03/18 9:26:29 em EET","10.00 / 15","50","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Otroligt svårt att bedöma om någon, några eller alla var AI genererade! 😱","-- / 0",""
"2024/03/18 9:47:42 em EET","9.00 / 15","54","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 10:15:39 em EET","5.00 / 15","54","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 8:35:12 fm EET","13.00 / 15","55","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ansiktets detaljer","-- / 0","","Ja","1.00 / 1","","Hans händer","-- / 0","","Nej","1.00 / 1","","Detaljer i ansiktet","-- / 0","","Nej","1.00 / 1","","Feeling","-- / 0","","Nej","0.00 / 1","","Vet inte","-- / 0","","Nej","1.00 / 1","","Speglingar","-- / 0","","Nej","1.00 / 1","","Vet inte","-- / 0","","Ja","1.00 / 1","","Vet ej","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Händerna ser justa ut","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Känns plastig","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Hade velat kunna svara vet ej","-- / 0",""
"2024/03/19 8:57:46 fm EET","8.00 / 15","54","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Det naturliga ögon och mun.","-- / 0","","Nej","0.00 / 1","","Detaljerna","-- / 0","","Nej","1.00 / 1","","Detaljerna ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","Detaljerna","-- / 0","","Ja","0.00 / 1","","Bakgrunden","-- / 0","","Nej","1.00 / 1","","Detaljerna ","-- / 0","","Ja","1.00 / 1","","Ser onaturlig ut","-- / 0","","Nej","1.00 / 1","","Detaljerna ","-- / 0","","Nej","1.00 / 1","","Detaljerna","-- / 0","","Ja","1.00 / 1","","Ser overklig ut","-- / 0","","Nej","1.00 / 1","","Detaljerna ser äkta ut","-- / 0","","Ja","0.00 / 1","","Handen ser inte riktig ut","-- / 0","","Nej","0.00 / 1","","Ser äkta ut","-- / 0","","Ja","0.00 / 1","","Benen ser inte ok ut","-- / 0","","","-- / 0",""
"2024/03/19 9:52:57 fm EET","10.00 / 15","53","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut","-- / 0","","Ja","1.00 / 1","","Den ser inte verklig ut","-- / 0","","Ja","0.00 / 1","","Den ser inte verklig ut","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut","-- / 0","","Nej","0.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","0.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser ","-- / 0","","Ja","1.00 / 1","","Den ser inte verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","1.00 / 1","","Den ser verklig ut ","-- / 0","","Nej","0.00 / 1","","Den ser verklig ut ","-- / 0","","Ja","0.00 / 1","","Den ser inte verklig ut ","-- / 0","","Jag har ingen aning hur man ser att den är AI","-- / 0",""
"2024/03/19 10:03:11 fm EET","4.00 / 15","54","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 10:20:42 fm EET","13.00 / 15","51","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","den ser naturlig ut","-- / 0","","Ja","1.00 / 1","","för perfekt","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 10:59:19 fm EET","11.00 / 15","55","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Man kan se dammet på kappan","-- / 0","","Ja","1.00 / 1","","Fingrarna och den ser ut som andra AI bilder","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 4:00:30 em EET","14.00 / 15","15","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 4:28:34 em EET","12.00 / 15","22","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Tror det är hårstråna som får det att se lite mer realisistiskt ut?","-- / 0","","Ja","1.00 / 1","","handen som håller i koppen","-- / 0","","Ja","0.00 / 1","","Näbben ser off ut, men jag venne hur en näbb ser ut förvisso","-- / 0","","Ja","0.00 / 1","","Träden ser off ut, känns väldigt platta","-- / 0","","Ja","1.00 / 1","","Pälsen ser ut som brushstrokes","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ljuset set lite wack ut ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Huvudsakligen mossan","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/19 8:50:46 em EET","10.00 / 15","55","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Känns naturlig","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ser plastig ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/20 12:55:40 em EET","14.00 / 15","29","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Jag tror att denna bild är riktig då hennes tänder ser riktiga ut, jag tror att en AI hade gjort de lite finare. När jag zoomar in ser jag tydligt porer och smink, som blir fångade av ljuset - något jag också tror att AI har svårt att generera. Däremot kan man ju be AI generera en bild som denna. OMG...! Tänk om ALLA bilder är AI-genererade!? Nej okej jag står fast vid att den är RIKTIG.","-- / 0","","Ja","1.00 / 1","","Mannens ringfinger är creepy långt asså... återigen med tänderna - deras tänder är verkligen crisp - lite för snygga för att va på riktigt. Han har dessutom VÄLDIGT många och långa kråkfötter (alltså smil-linjer vid ögonen) hmm... suspicious! AI!","-- / 0","","Nej","1.00 / 1","","Den här var svår! Men spegelbilden på vattnet känns äkta, tror att en AI hade sabbat en sån sak... Pälsen eller vad man säger om birbs är också fluffig på rätt ställen och liiite blöt på rätt ställen. RIKTIG!","-- / 0","","Nej","1.00 / 1","","För att jag tror jag varit här, haha...! På promenad med Haralds mamma på Ljusterö! Så jag hoppas verkligen att denna är riktig annars får jag kolla mitt minne.... RIKTIG","-- / 0","","Ja","1.00 / 1","","För att kattens päls ser inte riktig ut, på halsen under öronen ser den ut som att den är AI-genererad. MEN... nu blir jag lite osäker ändå. Det skulle kunna va ett foto på en katt redigerat i typ photoshop... hm.....nä... AI","-- / 0","","Nej","1.00 / 1","","För att pepparkvarnen som står bakom vasen blir förvrängd så som saker blir bakom vatten. Kom precis att tänka på alla fiskar på akvarium, är det sådär vi ser ut för dom från deras sida av glaset?????? RIKTIG","-- / 0","","Nej","1.00 / 1","","Nyckelpigan har som en bonk på ena axeln som jag tror är svår att generera. Plus att den har ett litet hårstrå på sig eller så, hm... RIKTIG","-- / 0","","Ja","1.00 / 1","","Skogen ser lite för sago-aktig ut för att vara riktig. AI","-- / 0","","Nej","1.00 / 1","","När jag zoomar in så känns texturen runt ögat riktig, inte AI. Så den här är RIKTIG men väldigt bra fotad och redigerad med ljussättning och skärpa!","-- / 0","","Nej","1.00 / 1","","Den är riktig för att det är alldeles för många detaljer som känns riktiga; han har uppenbarligen en mobil i ena fickan och nycklar i andra, hans händer och armar ser riktiga ut. RIKTIG","-- / 0","","Nej","0.00 / 1","","National Geografic eller AI?... det är frågan. Den här va också svår! Känns som ett redigerat foto. Nä, RIKTIG","-- / 0","","Nej","1.00 / 1","","Känns som att jag bara svarar riktig...! Men det här ser ut som svenska eller norska fjäll, både fotspår och skidspår i förgrunden i snön gör att jag tror att denna är RIKTIG","-- / 0","","Nej","1.00 / 1","","Ser återigen ut som ett foto taget i rätt ljussättning med bra redigering! RIKTIG","-- / 0","","Ja","1.00 / 1","","Jag tror AI men det skulle också kunna vara riktigt bra redigering och retuschering i efterhand... men AI.","-- / 0","","Nej","1.00 / 1","","Doggo!!! Tänderna ser riktiga ut, pälsen som är blöt ser ut som blöt päls och likaså den päls som är torr, det tror jag blir svårt för AI att generera...! RIKTIG","-- / 0","","Vilket roligt test! Jag vill självklart veta hur bra jag var på detta och ni får gärna maila mig svar på emilie.timerdahl@gmail.com","-- / 0",""
"2024/03/20 3:23:21 em EET","10.00 / 15","31","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Händerna och huden är off","-- / 0","","Ja","0.00 / 1","","Spegelbilden ser off ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Pälsen ser knäpp ut ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/20 4:07:17 em EET","9.00 / 15","61","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/20 6:29:59 em EET","10.00 / 15","37","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ser inga uppenbara fel, det finns hudtextur etc","-- / 0","","Ja","1.00 / 1","","Mannens fingrar, rock och hår ser konstiga ut. Kvinnans proportioner, armen. Allmän uncanny känsla av bilden. ","-- / 0","","Ja","0.00 / 1","","Något med speglingen i vattnet känns off","-- / 0","","Ja","0.00 / 1","","Något med speglingarna i vattnet känns off. ","-- / 0","","Ja","1.00 / 1","","Oskärpan i kattens päls. ","-- / 0","","Ja","0.00 / 1","","Blomsterarrangemanget ser konstigt ut. Var är stjälkarna? ","-- / 0","","Nej","1.00 / 1","","Verkar vara en fin makrobild bara, avbrutet grässtrå ","-- / 0","","Ja","1.00 / 1","","Ljuset känns lite off","-- / 0","","Nej","1.00 / 1","","Många imperfections","-- / 0","","Nej","1.00 / 1","","Många ”fula” detaljer som nog inte hade genererats i en ai-bild","-- / 0","","Ja","1.00 / 1","","Känsla","-- / 0","","Nej","1.00 / 1","","Känsla","-- / 0","","Ja","0.00 / 1","","Tänkte nej först men tror det saknas skuggor ","-- / 0","","Ja","1.00 / 1","","Blomman ser fejk ut","-- / 0","","Ja","0.00 / 1","","Tassarna ser konstiga ut","-- / 0","","","-- / 0",""
